/* Name ; ( x , y ) ; capacity ; ( Urban , SimpleUrban , Race , Child ) */

Hospital de Sao Joao ; ( 10 , 10 ) ; 100 ; ( 7 , 9 , 17 , 13 )
IPO ; ( -60 , 120 ) ; 50 ; ( 7 , 9 , 17 , 13 )
Joao de Deus ; ( -120 , 80 ) ; 70 ; ( 7 , 9 , 17 , 13 )
Combatentes ; ( 20 , 90 ) ; 1 ; ( 1 , 0 , 0 , 0 )
Santo Ovidio ; ( -70 , 50 ) ; 20 ; ( 7 , 9 , 4 , 0 )
Faria Guimaraes ; ( 120 , 30 ) ; 200 ; ( 6 , 9 , 18 , 13 )
Salgueiros ; ( -100 , 0 ) ; 10 ; ( 6 , 4 , 0 , 0 )
Camara Gaia ; ( -120 , -120 ) ; 10 ; ( 6 , 4 , 0 , 0 )
Trindade ; ( 80 , -20 ) ; 120 ; ( 6 , 9 , 18 , 13 )
Polo Universitario ; ( 0 , -40 ) ; 10 ; ( 6 , 4 , 0 , 0 )
Jardim do Morro ; ( -40 , -70 ) ; 10 ; ( 6 , 4 , 0 , 0 )
Sao Bento ; ( -100 , -90 ) ; 10 ; ( 6 , 4 , 0 , 0 )
Aliados ; ( 110 , -90 ) ; 50 ; ( 6 , 9 , 18 , 13 )
General Torres ; ( 50 , -120 ) ; 90 ; ( 6 , 9 , 17 , 13 )
Marques ; ( 50 , 50 ) ; 50 ; ( 0 , 0 , 0 , 0 )
